Android-inspired jumpsuit with built-in holographic interface, Madam, Average Height, in shape, Heart-Shaped Face, Olive Skin, White Hair, dark brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Waterfall Braid,  black metallic lipstick  
Exotic ensemble with metallic scale-like textures, Maven, Tall, Firm, Triangular Face, Dark Skin, Honey Blonde Hair, amber Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Tousled Waves,  fuchsia gloss  lipstick  
astroneer uniform, Temptress, Short, Skinny, Diamond-Shaped Face, Olive Skin, Blonde Hair, hazel Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Long Curled Updo, augmented bodyparts, golden metallic  lipstick  
Carbonfiber bodysuit with fiber optic light trails, Madame, Short, Lean, Heart-Shaped Face, Fair Skin, Black Hair, amethyst Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Middle Part Bangs,  red metallic  lipstick  
Robotic exosuit with integrated AI assistant, Femme fatale, Short, Athletic, Triangular Face, Dark Skin, Strawberry Blonde Hair, pink Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Shaggy Cut,  orange stain  lipstick  
Biomechanical exosuit with integrated biofeedback sensors, Heiress, Tall, Athletic, Round Face, Tan Skin, Auburn Hair, ruby Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishbone Braid,  terracotta sheer  lipstick  
Armor-like suit with holographic circuitry overlays, Female Warrior, Average Height, Athletic, Square Face, Fair Skin, Honey Blonde Hair, pink Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Long Wavy Hair,  orange matte  lipstick  
Galactic empress gown with celestial-themed embroidery, Starlet, Tall, Firm, Triangular Face, Dark Skin, Gray Hair, Amber Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Formal Braided Updo,  brown stain  lipstick  
Interplanetary diplomat attire with intricate alien cultural motifs, Trailblazer, Tall, Firm, Diamond-Shaped Face, Dark Skin, Black Hair, Amber Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Bob with Bangs,  pink metallic  lipstick  
Interplanetary diplomat attire with intricate alien cultural motifs, Empress, Average Height, Slim, Triangular Face, Dark Skin, Golden Blonde Hair, peach Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Waterfall Braid,  orange matte  lipstick  
Alien ambassador ensemble, Chanteuse, Tall, Slim, Diamond-Shaped Face, Fair Skin, Black Hair, grey Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Angled Bob,  teal velvet  lipstick  
Extravagant cloak with iridescent feathers, Goddess, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Wavy Bob,  golden cream  lipstick  
Futuristic bodysuit with pulsating neon lights, Queen, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Dark Brown Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Top Knot,  cream cream  lipstick  
Augmented reality suits, Female Viking, Short, Firm, Heart-Shaped Face, Fair Skin, Red Hair, green Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Afro,  orange matte  lipstick  
Mysterious cloak made of interwoven shadow fabric, Madame, Tall, Skinny, Square Face, Olive Skin, Brunette Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Afro,  rose gloss  lipstick  
astroneer uniform, Seductress, Average Height, Lean, Triangular Face, Fair Skin, Gray Hair, red Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Straight Bob,   berry sheer  lipstick  
Hooded cloak with bioluminescent patterns, Enchantress, Short, Skinny, Diamond-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs,  rose cream  lipstick  
Robotic exosuit with integrated AI assistant, Sensation, Tall, Fit, Oval Face, Fair Skin, Dark Brown Hair, Gray Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo,  rose sheer  lipstick  
astroneer uniform, Maven, Average Height, Firm, Oval Face, Tan Skin, Light Brown Hair, red Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun,  hot pink stain  lipstick  
Extravagant robe featuring ethereal nebula patterns, Madame, Short, Athletic, Heart-Shaped Face, Dark Skin, Dark Brown Hair, jade Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wavy Updo,  peach matte  lipstick  
Neon cyberpunk catsuit with integrated neural implants, Superwoman, Short, Fit, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, amethyst Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Rope Braid,   brown gloss  lipstick  
astroneer uniform, Empress, Average Height, Narrow Hips, Heart-Shaped Face, Tan Skin, Light Brown Hair, turquoise Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Wavy Hair, Waterfall Braid,   black metallic  lipstick  
Robotic exoskeleton with glowing energy cores, Empress, Short, Lean, Round Face, Tan Skin, Golden Blonde Hair, purple Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Chignon,  pink gloss  lipstick  
Glowing bodysuit with swirling cosmic patterns, Artist, Short, Fit, Oval Face, Dark Skin, White Hair, amber Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo,  mauve velvet  lipstick  
Interstellar explorer suit, Phenom, Tall, Wide Hips, Diamond-Shaped Face, Tan Skin, Black Hair, peach Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Layered Bob,  plum satin  lipstick  
Form-fitting liquid metal bodysuits, Temptress, Short, Athletic, Triangular Face, Tan Skin, Chestnut Hair, teal Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Loose Waves,  green sheer  lipstick  
Elven-inspired attire with flowing silks and intricate embroidery, Gal, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Auburn Hair, Blue Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Herringbone Braid,   soft pink cream  lipstick  
Shimmering jumpsuit with angular cuts, Madame, Short, Slim, Round Face, Tan Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs,  green gloss  lipstick  
Robotic exoskeleton with glowing energy cores, Dame, Short, Lean, Diamond-Shaped Face, Dark Skin, Auburn Hair, light blue Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid,  mauve metallic  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Artist, Average Height, Fit, Oval Face, Olive Skin, Silver Hair, Sapphire Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair,  choppy bob,  brown matte  lipstick  
Nanotech suits, Woman, Average Height, Slim, Round Face, Tan Skin, Red Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Curly Hair, Fauxhawk,  teal satin  lipstick  
Holographic projection suits, Mistress, Average Height, Narrow Hips, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights,  cherry metallic  lipstick  
Slim-fit armor suit with built-in wings, Enigma, Short, Wide Hips, Square Face, Dark Skin, Blonde Hair, aquamarine Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Sleek Bun,  soft pink matte  lipstick  
Exotic ensemble with metallic scale-like textures, Charmer, Average Height, Firm, Heart-Shaped Face, Dark Skin, Gray Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sock Bun,  lavender gloss  lipstick  
Futuristic trench coat with glowing accents, Dame, Tall, in shape, Diamond-Shaped Face, Tan Skin, Brunette Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Low Messy Bun,  violet stain  lipstick  
Geminfused bodysuit, Heiress, Tall, Fit, Square Face, Fair Skin, Golden Blonde Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fancy Updo,  violet metallic  lipstick  
Cybernetic armor with built-in oxygen tank, Escort, Short, Fit, Square Face, Dark Skin, Light Brown Hair, Brown Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun,  lavender cream  lipstick  
Exosuit with built-in helmet, Enigma, Short, Lean, Oval Face, Fair Skin, Strawberry Blonde Hair, turquoise Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Bob with Bangs,  magenta velvet  lipstick  
Cosmic princess gown with LED constellations, Mistress, Short, Lean, Oval Face, Fair Skin, Honey Blonde Hair, brown Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Sleek Straight Hair,   rose satin  lipstick  
Celestial-themed dress with sparkling celestial bodies, Empress, Tall, Toned, Square Face, Olive Skin, Dark Brown Hair, Hazel Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Short Afro,  golden metallic  lipstick  
Alien ambassador ensemble, Siren, Tall, Skinny, Triangular Face, Olive Skin, Silver Hair, purple Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob,   cream velvet  lipstick  
Futuristic trench coat with glowing accents, Enigma, Average Height, in shape, Square Face, Tan Skin, Chestnut Hair, amethyst Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Ballerina Bun,  beige velvet  lipstick  
Adaptive nano-fiber suits, Escort, Short, Skinny, Round Face, Tan Skin, Gray Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo,  orange satin  lipstick  
Exotic ensemble with metallic scale-like textures, Queen, Average Height, Fit, Heart-Shaped Face, Fair Skin, Gray Hair, jade Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Boho Braid,  grape velvet  lipstick  
Extravagant robe featuring ethereal nebula patterns, Charmer, Short, Thin, Square Face, Fair Skin, Dark Brown Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon,  gloss metallic  lipstick  
Mystical garment with shifting color gradients, Temptress, Tall, Firm, Round Face, Dark Skin, Auburn Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Donut Bun,  cherry cream  lipstick  
Galactic empress gown with celestial-themed embroidery, Enchantress, Average Height, Toned, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, peach Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Layered Bob,  light pink velvet  lipstick  
Futuristic trench coat with glowing accents, Visionary, Short, in shape, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, High Chignon,  red cream  lipstick  
Nanotech suits, Trailblazer, Short, Wide Hips, Oval Face, Dark Skin, Dark Brown Hair, amber Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Waterfall Braid,  cherry sheer  lipstick  
Sleek metallic jumpsuit with luminescent accents, Female Viking, Tall, Wide Hips, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Curled Bob,  plum metallic  lipstick  
Robotic exoskeleton with glowing energy cores, Enigma, Average Height, Lean, Square Face, Tan Skin, Gray Hair, Gray Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Low Chignon,  burgundy sheer  lipstick  
Aero-dynamic flight suit with wing-like attachments, Woman, Short, in shape, Diamond-Shaped Face, Tan Skin, Light Brown Hair, turquoise Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid,  light pink metallic  lipstick  
Vibrant coat with luminescent energy trails, Duchess, Tall, Wide Hips, Heart-Shaped Face, Fair Skin, Chestnut Hair, Gray Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid,   light pink sheer  lipstick  
Robotic exoskeleton with glowing energy cores, Belle, Average Height, Narrow Hips, Square Face, Olive Skin, Silver Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Side French Braid,  cherry sheer  lipstick  
Chromatic suit with liquid metal textures, Trailblazer, Tall, Skinny, Heart-Shaped Face, Tan Skin, Red Hair, teal Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, French Twist,  brown cream  lipstick  
Adaptive nano-fiber suits, Maven, Short, Skinny, Round Face, Tan Skin, Chestnut Hair, jade Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Braided Updo,  green gloss  lipstick  
Celestial-themed dress with sparkling celestial bodies, Siren, Tall, Thin, Triangular Face, Fair Skin, Auburn Hair, gold Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Ponytail,  light pink satin  lipstick  
Holographic jumpsuit with morphing geometric shapes, Enigma, Tall, Lean, Oval Face, Olive Skin, Golden Blonde Hair, yellow Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bob with Bangs,  fuchsia sheer  lipstick  
Shimmering jumpsuit with angular cuts, Visionary, Tall, Slim, Diamond-Shaped Face, Olive Skin, Brunette Hair, green Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Curly Hair, Fluffy Afro,   violet cream  lipstick  
Plasma-powered jumpsuit with pulsating energy patterns, Visionary, Short, in shape, Triangular Face, Olive Skin, Black Hair, jade Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Long Straight Hair,  augmented bodyparts, pink sheer  lipstick  
Elegant dress with holographic lacework, Songstress, Tall, Lean, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair,  choppy bob,  augmented bodyparts, lavender velvet  lipstick  
Neon cyberpunk catsuit with integrated neural implants, Baroness, Average Height, Thin, Triangular Face, Tan Skin, Chestnut Hair, hazel Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Swept Bangs,  terracotta gloss  lipstick  
Extravagant cloak with iridescent feathers, Temptress, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, brown Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Blunt Cut Bangs,  mauve sheer  lipstick  
Epic armor adorned with pulsating gemstones, Babe, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Red Hair, pink Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Bouncy Curls,  teal stain  lipstick  
Galactic empress gown with celestial-themed embroidery, Baroness, Short, Fit, Oval Face, Tan Skin, Auburn Hair, yellow Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob,  peach velvet  lipstick  
Neon cyberpunk catsuit with integrated neural implants, Belle, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Silver Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Double Braided Crown,  peach matte  lipstick  
Extravagant robe featuring ethereal nebula patterns, Female Warrior, Short, Toned, Heart-Shaped Face, Fair Skin, Light Brown Hair, turquoise Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Side Bangs,  coral cream  lipstick  
Android-inspired jumpsuit with built-in holographic interface, Mistress, Average Height, Narrow Hips, Triangular Face, Dark Skin, Red Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Ballerina Bun,   light pink metallic  lipstick  
Robotic exosuit with integrated AI assistant, Empress, Average Height, Fit, Heart-Shaped Face, Olive Skin, Auburn Hair, grey Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, French Twist,  violet gloss  lipstick  
Glow-in-the-dark catsuit with detachable hood, Dame, Short, Athletic, Triangular Face, Fair Skin, Red Hair, brown Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, High Bun,  green sheer  lipstick  
Space suit, Siren, Average Height, Skinny, Heart-Shaped Face, Tan Skin, Blonde Hair, turquoise Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob,  violet metallic  lipstick  
Geminfused bodysuit, Babe, Tall, Toned, Heart-Shaped Face, Fair Skin, Brunette Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down,  black stain  lipstick  
Exotic ensemble with metallic scale-like textures, Lady, Tall, Athletic, Triangular Face, Dark Skin, Blonde Hair, Green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, Low Chignon,  terracotta gloss  lipstick  
Futuristic bodysuit with pulsating neon lights, Babe, Average Height, Wide Hips, Round Face, Tan Skin, Chestnut Hair, grey-blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Fringed Bangs,   soft pink gloss  lipstick  
Chromatic suit with liquid metal textures, Siren, Average Height, Athletic, Round Face, Tan Skin, White Hair, aquamarine Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Long Wavy Hair,  cream stain  lipstick  
Adaptive nano-fiber suits, Maven, Average Height, Fit, Round Face, Tan Skin, Light Brown Hair, blue Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob,   terracotta stain  lipstick  
Holographic jumpsuit with morphing geometric shapes, Duchess, Short, Lean, Diamond-Shaped Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown,  teal cream  lipstick  
Robotic exosuit with integrated AI assistant, Babe, Short, Thin, Square Face, Dark Skin, Black Hair, silver Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Side French Braid,  orange stain  lipstick  
Energy-infused outfit with glowing runic symbols, Babe, Tall, Firm, Triangular Face, Fair Skin, Black Hair, coral Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, French Braid,   cherry gloss  lipstick  
